FAMID	ID	PID	MID	SEX	POP	POP_SIMPLE	COUNTRY	SPOP	CONTINENT	ORDER	POP_ORDER	SPOP_ORDER	POP_COLOR	SPOP_COLOR
HG00096	HG00096	0	0	1	GBR	British	United_Kingdom	EUR	Europe	1	18	4	#00c5cd	#64ebff
HG00097	HG00097	0	0	2	GBR	British	United_Kingdom	EUR	Europe	2	18	4	#00c5cd	#64ebff
HG00099	HG00099	0	0	2	GBR	British	United_Kingdom	EUR	Europe	3	18	4	#00c5cd	#64ebff
HG00100	HG00100	0	0	2	GBR	British	United_Kingdom	EUR	Europe	4	18	4	#00c5cd	#64ebff
HG00101	HG00101	0	0	1	GBR	British	United_Kingdom	EUR	Europe	5	18	4	#00c5cd	#64ebff
HG00102	HG00102	0	0	2	GBR	British	United_Kingdom	EUR	Europe	6	18	4	#00c5cd	#64ebff
HG00103	HG00103	0	0	1	GBR	British	United_Kingdom	EUR	Europe	7	18	4	#00c5cd	#64ebff
HG00105	HG00105	0	0	1	GBR	British	United_Kingdom	EUR	Europe	8	18	4	#00c5cd	#64ebff
HG00106	HG00106	0	0	2	GBR	British	United_Kingdom	EUR	Europe	9	18	4	#00c5cd	#64ebff
HG00107	HG00107	0	0	1	GBR	British	United_Kingdom	EUR	Europe	10	18	4	#00c5cd	#64ebff
HG00108	HG00108	0	0	1	GBR	British	United_Kingdom	EUR	Europe	11	18	4	#00c5cd	#64ebff
HG00109	HG00109	0	0	1	GBR	British	United_Kingdom	EUR	Europe	12	18	4	#00c5cd	#64ebff
HG00110	HG00110	0	0	2	GBR	British	United_Kingdom	EUR	Europe	13	18	4	#00c5cd	#64ebff
HG00111	HG00111	0	0	2	GBR	British	United_Kingdom	EUR	Europe	14	18	4	#00c5cd	#64ebff
HG00112	HG00112	0	0	1	GBR	British	United_Kingdom	EUR	Europe	15	18	4	#00c5cd	#64ebff
HG00113	HG00113	0	0	1	GBR	British	United_Kingdom	EUR	Europe	16	18	4	#00c5cd	#64ebff
HG00114	HG00114	0	0	1	GBR	British	United_Kingdom	EUR	Europe	17	18	4	#00c5cd	#64ebff
HG00115	HG00115	0	0	1	GBR	British	United_Kingdom	EUR	Europe	18	18	4	#00c5cd	#64ebff
HG00116	HG00116	0	0	1	GBR	British	United_Kingdom	EUR	Europe	19	18	4	#00c5cd	#64ebff
HG00117	HG00117	0	0	1	GBR	British	United_Kingdom	EUR	Europe	20	18	4	#00c5cd	#64ebff
HG00118	HG00118	0	0	2	GBR	British	United_Kingdom	EUR	Europe	21	18	4	#00c5cd	#64ebff
HG00119	HG00119	0	0	1	GBR	British	United_Kingdom	EUR	Europe	22	18	4	#00c5cd	#64ebff
HG00120	HG00120	0	0	2	GBR	British	United_Kingdom	EUR	Europe	23	18	4	#00c5cd	#64ebff
HG00121	HG00121	0	0	2	GBR	British	United_Kingdom	EUR	Europe	24	18	4	#00c5cd	#64ebff
HG00122	HG00122	0	0	2	GBR	British	United_Kingdom	EUR	Europe	25	18	4	#00c5cd	#64ebff
HG00123	HG00123	0	0	2	GBR	British	United_Kingdom	EUR	Europe	26	18	4	#00c5cd	#64ebff
HG00125	HG00125	0	0	2	GBR	British	United_Kingdom	EUR	Europe	27	18	4	#00c5cd	#64ebff
HG00126	HG00126	0	0	1	GBR	British	United_Kingdom	EUR	Europe	28	18	4	#00c5cd	#64ebff
HG00127	HG00127	0	0	2	GBR	British	United_Kingdom	EUR	Europe	29	18	4	#00c5cd	#64ebff
HG00128	HG00128	0	0	2	GBR	British	United_Kingdom	EUR	Europe	30	18	4	#00c5cd	#64ebff
HG00129	HG00129	0	0	1	GBR	British	United_Kingdom	EUR	Europe	31	18	4	#00c5cd	#64ebff
HG00130	HG00130	0	0	2	GBR	British	United_Kingdom	EUR	Europe	32	18	4	#00c5cd	#64ebff
HG00131	HG00131	0	0	1	GBR	British	United_Kingdom	EUR	Europe	33	18	4	#00c5cd	#64ebff
HG00132	HG00132	0	0	2	GBR	British	United_Kingdom	EUR	Europe	34	18	4	#00c5cd	#64ebff
HG00133	HG00133	0	0	2	GBR	British	United_Kingdom	EUR	Europe	35	18	4	#00c5cd	#64ebff
HG00136	HG00136	0	0	1	GBR	British	United_Kingdom	EUR	Europe	36	18	4	#00c5cd	#64ebff
HG00137	HG00137	0	0	2	GBR	British	United_Kingdom	EUR	Europe	37	18	4	#00c5cd	#64ebff
HG00138	HG00138	0	0	1	GBR	British	United_Kingdom	EUR	Europe	38	18	4	#00c5cd	#64ebff
HG00139	HG00139	0	0	1	GBR	British	United_Kingdom	EUR	Europe	39	18	4	#00c5cd	#64ebff
HG00140	HG00140	0	0	1	GBR	British	United_Kingdom	EUR	Europe	40	18	4	#00c5cd	#64ebff
HG00141	HG00141	0	0	1	GBR	British	United_Kingdom	EUR	Europe	41	18	4	#00c5cd	#64ebff
HG00142	HG00142	0	0	1	GBR	British	United_Kingdom	EUR	Europe	42	18	4	#00c5cd	#64ebff
HG00143	HG00143	0	0	1	GBR	British	United_Kingdom	EUR	Europe	43	18	4	#00c5cd	#64ebff
HG00145	HG00145	0	0	1	GBR	British	United_Kingdom	EUR	Europe	44	18	4	#00c5cd	#64ebff
HG00146	HG00146	0	0	2	GBR	British	United_Kingdom	EUR	Europe	45	18	4	#00c5cd	#64ebff
HG00148	HG00148	0	0	1	GBR	British	United_Kingdom	EUR	Europe	46	18	4	#00c5cd	#64ebff
HG00149	HG00149	0	0	1	GBR	British	United_Kingdom	EUR	Europe	47	18	4	#00c5cd	#64ebff
HG00150	HG00150	0	0	2	GBR	British	United_Kingdom	EUR	Europe	48	18	4	#00c5cd	#64ebff
HG00151	HG00151	0	0	1	GBR	British	United_Kingdom	EUR	Europe	49	18	4	#00c5cd	#64ebff
HG00154	HG00154	0	0	2	GBR	British	United_Kingdom	EUR	Europe	50	18	4	#00c5cd	#64ebff
HG00155	HG00155	0	0	1	GBR	British	United_Kingdom	EUR	Europe	51	18	4	#00c5cd	#64ebff
HG00157	HG00157	0	0	1	GBR	British	United_Kingdom	EUR	Europe	52	18	4	#00c5cd	#64ebff
HG00158	HG00158	0	0	2	GBR	British	United_Kingdom	EUR	Europe	53	18	4	#00c5cd	#64ebff
HG00159	HG00159	0	0	1	GBR	British	United_Kingdom	EUR	Europe	54	18	4	#00c5cd	#64ebff
HG00160	HG00160	0	0	1	GBR	British	United_Kingdom	EUR	Europe	55	18	4	#00c5cd	#64ebff
HG00171	HG00171	0	0	2	FIN	Finnish	Finland	EUR	Europe	56	19	4	#00ebff	#64ebff
HG00173	HG00173	0	0	2	FIN	Finnish	Finland	EUR	Europe	57	19	4	#00ebff	#64ebff
HG00174	HG00174	0	0	2	FIN	Finnish	Finland	EUR	Europe	58	19	4	#00ebff	#64ebff
HG00176	HG00176	0	0	2	FIN	Finnish	Finland	EUR	Europe	59	19	4	#00ebff	#64ebff
HG00177	HG00177	0	0	2	FIN	Finnish	Finland	EUR	Europe	60	19	4	#00ebff	#64ebff
HG00178	HG00178	0	0	2	FIN	Finnish	Finland	EUR	Europe	61	19	4	#00ebff	#64ebff
HG00179	HG00179	0	0	2	FIN	Finnish	Finland	EUR	Europe	62	19	4	#00ebff	#64ebff
