FAMID	ID	PID	MID	SEX	PHENO	SIBLINGS	POP	POP_SIMPLE	POP_REF	LINGUISTIC_FAMILY	CONTINENT	REGION	LATITUDE	LONGITUDE	RN_NAMES	SOURCE	BATCH	PLATFORM	POP_ORD	NEW_ORD	FAM_ORD	OLD_ID	NOTES
NA06985	NA06985	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	60	214	NA	NA
NA06993	NA06993	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	61	215	NA	NA
NA07022	NA07022	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	64	218	NA	NA
NA07034	NA07034	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	65	219	NA	NA
NA07055	NA07055	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	66	220	NA	NA
NA11829	NA11829	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	70	224	NA	NA
NA11830	NA11830	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	71	225	NA	NA
NA11840	NA11840	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	75	229	NA	NA
NA11881	NA11881	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	76	230	NA	NA
NA11995	NA11995	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	81	235	NA	NA
NA12057	NA12057	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	89	243	NA	NA
NA12155	NA12155	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	94	248	NA	NA
NA12156	NA12156	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	95	249	NA	NA
NA12234	NA12234	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	96	250	NA	NA
NA12264	NA12264	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	101	255	NA	NA
NA12751	NA12751	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	105	259	NA	NA
NA12814	NA12814	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	112	266	NA	NA
NA12815	NA12815	0	0	0	1	NA	CEU	NW_Europe	CEU	Indo-European	Europe	NW_Europe	NA	NA	NA	HapMap	NA	Axiom_DB	2	113	267	NA	NA
